# tijd (s), versnelling (m/s^2)
1.540641934139224567e+00,1.881123263986909100e-01
1.545644018340975423e+00,1.898401415060812225e-01
1.550646102542726057e+00,1.915648124273671427e-01
1.555648186744476913e+00,1.932860035136252375e-01
1.560650270946227547e+00,1.950033818589514412e-01
1.565652355147978181e+00,1.967166175532901462e-01
1.570654439349729037e+00,1.984253839302953237e-01
1.575656523551479671e+00,2.001293578098384263e-01
1.580658607753230527e+00,2.018282197347940066e-01
1.585660691954981161e+00,2.035216542017464214e-01
1.590662776156732017e+00,2.052093498852831377e-01
1.595664860358482651e+00,2.068909998555517882e-01
1.600666944560233507e+00,2.085663017887820214e-01
1.605669028761984141e+00,2.102349581704874293e-01
1.610671112963734775e+00,2.118966764910866774e-01
1.615673197165485631e+00,2.135511694336992006e-01
1.620675281367236265e+00,2.151981550538935861e-01
1.625677365568987121e+00,2.168373569511879706e-01
1.630679449770737754e+00,2.184685044321195702e-01
1.635681533972488610e+00,2.200913326647267187e-01
1.640683618174239244e+00,2.217055828243026105e-01
1.645685702375989878e+00,2.233110022303064768e-01
1.650687786577740734e+00,2.249073444743347472e-01
1.655689870779491368e+00,2.264943695390787826e-01
1.660691954981242224e+00,2.280718439082161930e-01
1.665694039182992858e+00,2.296395406672018802e-01
1.670696123384743714e+00,2.311972395949480619e-01
1.675698207586494348e+00,2.327447272463987193e-01
1.680700291788244982e+00,2.342817970260280824e-01
1.685702375989995838e+00,2.358082492523068396e-01
1.690704460191746472e+00,2.373238912132023537e-01
1.695706544393497328e+00,2.388285372127940676e-01
1.700708628595247962e+00,2.403220086091032437e-01
1.705710712796998818e+00,2.418041338432547205e-01
1.710712796998749452e+00,2.432747484600991938e-01
1.715714881200500086e+00,2.447336951204454325e-01
1.720716965402250942e+00,2.461808236050605780e-01
1.725719049604001576e+00,2.476159908106139174e-01
1.730721133805752432e+00,2.490390607377498122e-01
1.735723218007503066e+00,2.504499044714876277e-01
1.740725302209253922e+00,2.518484001541579920e-01
1.745727386411004556e+00,2.532344329510924363e-01
1.750729470612755190e+00,2.546078950092960924e-01
1.755731554814506046e+00,2.559686854093372599e-01
1.760733639016256680e+00,2.573167101106972332e-01
1.765735723218007536e+00,2.586518818908304929e-01
1.770737807419758170e+00,2.599741202781886140e-01
1.775739891621509026e+00,2.612833514794686840e-01
1.780741975823259660e+00,2.625795083013482967e-01
1.785744060025010294e+00,2.638625300669749096e-01
1.790746144226761150e+00,2.651323625274762952e-01
1.795748228428511784e+00,2.663889577687637567e-01
1.800750312630262640e+00,2.676322741138982275e-01
1.805752396832013273e+00,2.688622760212899254e-01
1.810754481033764129e+00,2.700789339790021781e-01
1.815756565235514763e+00,2.712822243954275403e-01
1.820758649437265397e+00,2.724721294866040977e-01
1.825760733639016253e+00,2.736486371604358592e-01
1.830762817840766887e+00,2.748117408980776943e-01
1.835764902042517743e+00,2.759614396327443875e-01
1.840766986244268377e+00,2.770977376261954950e-01
1.845769070446019233e+00,2.782206443431463616e-01
1.850771154647769867e+00,2.793301743238481571e-01
1.855773238849520501e+00,2.804263470550769077e-01
1.860775323051271357e+00,2.815091868397632813e-01
1.865777407253021991e+00,2.825787226654903894e-01
1.870779491454772847e+00,2.836349880720805405e-01
1.875781575656523481e+00,2.846780210184837734e-01
1.880783659858274337e+00,2.857078637491767270e-01
1.885785744060024971e+00,2.867245626602703545e-01
1.890787828261775605e+00,2.877281681655206036e-01
1.895789912463526461e+00,2.887187345624265822e-01
1.900791996665277095e+00,2.896963198985951227e-01
1.905794080867027951e+00,2.906609858385415524e-01
1.910796165068778585e+00,2.916127975310904841e-01
1.915798249270529441e+00,2.925518234775311699e-01
1.920800333472280075e+00,2.934781354006757437e-01
1.925802417674030709e+00,2.943918081149604071e-01
1.930804501875781565e+00,2.952929193977220090e-01
1.935806586077532199e+00,2.961815498617749176e-01
1.940808670279283055e+00,2.970577828294066469e-01
1.945810754481033689e+00,2.979217042079011502e-01
1.950812838682784545e+00,2.987734023666945848e-01
1.955814922884535179e+00,2.996129680162569753e-01
1.960817007086285813e+00,3.004404940887916431e-01
